Sample in Buffer,Sample in Window,TRIGGER,ADC_data_valid,IF_out[23:0],filt_sec_3_out[33:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,UNSIGNED,SIGNED
248,248,0,1,224400,4907121
249,249,0,0,264000,4907121
250,250,0,0,264000,4907121
251,251,0,0,306240,4907121
252,252,0,0,306240,4907121
253,253,0,0,306240,-2889539
254,254,0,0,353760,-2889539
255,255,0,0,353760,-2889539
256,256,0,0,353760,-2889539
257,257,0,0,401280,-2889539
258,258,0,1,316464,-2889539
259,259,0,0,358104,-2889539
260,260,0,0,358104,-2889539
261,261,0,0,358104,-2889539
262,262,0,0,401826,-2889539
263,263,0,0,401826,-10448523
264,264,0,0,401826,-10448523
265,265,0,0,447630,-10448523
266,266,0,0,447630,-10448523
267,267,0,0,495516,-10448523
268,268,0,1,347718,-10448523
269,269,0,0,347718,-10448523
270,270,0,0,382782,-10448523
271,271,0,0,382782,-10448523
272,272,0,0,382782,-10448523
273,273,0,0,419307,-17148180
274,274,0,0,419307,-17148180
275,275,0,0,457293,-17148180
276,276,0,0,457293,-17148180
277,277,0,0,457293,-17148180
278,278,0,1,294624,-17148180
279,279,0,0,294624,-17148180
280,280,0,0,294624,-17148180
281,281,0,0,318816,-17148180
282,282,0,0,318816,-17148180
283,283,0,0,318816,-22437536
284,284,0,0,343872,-22437536
285,285,0,0,343872,-22437536
286,286,0,0,370656,-22437536
287,287,0,0,370656,-22437536
288,288,0,1,174174,-22437536
289,289,0,0,186760,-22437536
290,290,0,0,186760,-22437536
291,291,0,0,186760,-22437536
292,292,0,0,200158,-22437536
293,293,0,0,200158,-25881608
294,294,0,0,213556,-25881608
295,295,0,0,213556,-25881608
296,296,0,0,213556,-25881608
297,297,0,0,227360,-25881608
298,298,0,1,61040,-25881608
299,299,0,0,61040,-25881608
300,300,0,0,64855,-25881608
301,301,0,0,64855,-25881608
302,302,0,0,68779,-25881608
303,303,0,0,68779,-27197172
304,304,0,0,68779,-27197172
305,305,0,0,72812,-27197172
306,306,0,0,72812,-27197172
307,307,0,0,72812,-27197172
308,308,0,1,26122,-27197172
309,309,0,0,26122,-27197172
310,310,0,0,27528,-27197172
311,311,0,0,27528,-27197172
312,312,0,0,27528,-27197172
313,313,0,0,29008,-26276054
314,314,0,0,29008,-26276054
315,315,0,0,29008,-26276054
316,316,0,0,30488,-26276054
317,317,0,0,30488,-26276054
318,318,0,1,168920,-26276054
319,319,0,0,177325,-26276054
320,320,0,0,177325,-26276054
321,321,0,0,185730,-26276054
322,322,0,0,185730,-26276054
323,323,0,0,185730,-23194030
324,324,0,0,194340,-23194030
325,325,0,0,194340,-23194030
